Elephant, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey, How big is the animal?, Larger than a car, What type of skin does it have?, Leather, What is its habitat?, Rainforest/Plains, Does it have a tail?, Yes, Does it have distinguishing features?, Trunk/Tusks, What shape are its ears?, Round
Dog, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey/Black/White/Gold/Brown, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Hair, What is its habitat?, Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face, What shape are its ears?, Round/Pointed 
Anteater, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey/Black/Brown, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Forest/Grassland, Does it have a tail?, No, Does it have distinguishing features?, Long Face, What shape are its ears?, Round
Antelope, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Larger than a car, What type of skin does it have?, Fur, What is its habitat?, Forest/Grassland, Does it have a tail?, No, Does it have distinguishing features?, Horns, What shape are its ears?, Pointed
Fox, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Red/Brown, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face, What shape are its ears?, Pointed
Rabbit, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey/Black/White/Brown, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Forest/Field/Meadow, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Wolf, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey/White/Brown, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Grassland/Plains/Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Long face, What shape are its ears?, Pointed
Armadillo, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey/Brown, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Leather, What is its habitat?, Forest/Grassland, Does it have a tail?, No, Does it have distinguishing features?, Shell, What shape are its ears?, Round
Bear, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Black/White/Brown, How big is the animal?, Larger than a car, What type of skin does it have?, Fur, What is its habitat?, Forest/Mountain, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face, What shape are its ears?, Round
Turtle, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey/Brown/Green, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Leather, What is its habitat?, Wetland/Grassland, Does it have a tail?, No, Does it have distinguishing features?, Shell, What shape are its ears?, None
Baboon, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 2, Does the animal have arms?, Yes, What colour is the animal?, Grey/Black, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Hair, What is its habitat?, Grassland/Rainforest, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face, What shape are its ears?, Round
